product_description,Brand,Stage,rpc,review_rating,url,Store,Sub-store,review_date,Month,review_text,Deep,ReviewID
嘉宝 Gerber 原味1段 辅食添加期6个月较大婴儿营养米粉 225g 罐装 (新老包装随机发货),,,B003NNULAA,5.0,https://www.amazon.cn/dp/B003NNULAA,Amazon,,2018-01-07T00:00:00,,我家娃就喜欢吃原味米粉，这个还不错，性价比高,,
嘉宝 Gerber 混合谷物3段 8-36个月较大婴儿和幼儿营养麦粉 225g 罐装 (新老包装随机发货),,,B071XTZQHS,5.0,https://www.amazon.cn/dp/B071XTZQHS,Amazon,,2018-01-03T00:00:00,,包装很不错，宝宝很喜欢,,
嘉宝 Gerber 豌豆营养2段 6-36个月较大婴儿和幼儿营养米粉 225g 罐装 (新老包装随机发货),,,B0093H19BU,5.0,https://www.amazon.cn/dp/B0093H19BU,Amazon,,2018-01-07T00:00:00,,孩子非常爱吃，非常好,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-04T08:37:01,,这么来说吧，东西没啥问题，就是物流太不地道了，说好的1号送货没给送，也没人打电话说下原因，2号问客服怎么回事，倒是苏宁的400号上午打过来了问了下情况，说已经和服务点联系了今天就送过来，结果呢，还是没送到，3号上午给发了条短信说让自己去服务点去拿，电话都没有，整个过程苏宁对这事都没有人主动打电话说明情况，更别说道歉的事了。虽说你的商品比某东便宜那么一点点，但是服务差了远了；再者说贵就赔就是一摆设，你妹的降价了说我用券了，你怎么不说涨价用券让人多买呢，本来不涨价我可以一桶的买的。这方面和某东也是差距很大，人家可不管你用了什么，只要降价了就给赔付的，不管是不是秒杀，抢购，还是你用了券，豆之类的。,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-05T23:41:27,,68868686868686868688688868886868686868686886868686868686好好,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-04T12:58:44,,已经吃到大半罐了，宝宝一直都是吃雀巢奶粉，感觉还不错，希望多做活动，两个宝宝的奶粉都是在苏宁购买的，苏宁还是值得相信的。,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-07T15:28:56,,恩，一直在这里够买雀巢，绝对的便宜，绝对的放心，绝对的正品,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-02T20:26:04,,这个奶粉质量不错，自从两岁以后，我***宝，一直吃这个奶粉。吃了不上火，大便也不干。,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-02T15:06:48,,质量不错，价格也非常实惠，还会继续购买！,,
自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,,,610800875,5,https://product.suning.com/0000000000/610800875.html,Suning,,2018-01-06T12:02:32,,大品牌值得信赖，今后有活动还会再买！,,
